380,3
104,2
340,3
260,5
216,1
17,4
228,4
190,5
133,2
54,2
161,4
459,2
76,3
104,2
81,1
391,3
182,4
405,6
38,2
286,4
207,2
456,6
442,5
81,2
273,4
442,5
455,5
104,2
437,5
323,3
351,5
221,5
207,3
115,2
460,3
207,3
322,4
368,6
143,1
323,5
306,3
171,4
195,3
312,5
299,4
209,2
76,1
13,2
374,6
390,5
391,6
414,3
39,4
285,5
162,2
405,6
323,3
187,1
299,4
322,3
13,3
138,1
432,6
189,4
238,5
81,1
324,6
391,4
455,4
153,3
276,1
34,2
338,5
91,1
325,6
136,1
289,5
238,4
338,6
468,4
266,6
119,2
92,1
312,6
190,4
23,2
91,1
342,6
416,3
161,3
13,3
68,1
266,6
323,2
286,1
85,2
153,2
432,6
135,2
345,3
65,2
91,4
216,1
429,5
230,3
115,3
323,4
351,5
442,6
95,3
184,2
391,6
119,2
418,2
23,3
76,2
92,3
442,6
156,1
57,4
52,1
324,1
312,3
273,2
27,2
117,1
253,3
195,6
247,2
138,2
182,4
432,5
437,4
285,3
325,3
46,2
391,6
78,3
51,1
57,4
374,5
104,2
425,4
253,1
270,1
51,1
190,4
208,1
130,1
357,4
253,2
26,1
136,2
276,1
114,3
286,3
429,5
374,6
351,6
324,1
325,6
138,1
85,4
304,6
368,5
189,2
247,2
169,2
171,1
114,4
114,1
114,3
38,2
102,1
390,3
459,3
195,3
230,5
182,1
399,6
260,2
57,2
91,1
338,3
432,4
171,2
266,6
286,1
322,3
204,4
297,5
195,5
425,3
38,3
459,4
408,5
273,3
342,1
342,6
442,5
338,4
136,1
76,1
78,1
108,2
378,6
19,1
119,2
299,3
255,5
68,1
162,4
69,3
13,3
368,5
115,2
17,4
374,6
65,1
189,4
51,4
253,1
156,4
414,6
119,2
475,5
425,4
230,4
403,5
221,2
361,6
345,4
184,6
459,3
306,3
114,4
23,4
378,4
114,1
54,4
69,1
364,6
171,4
78,1
442,6
221,4
184,1
459,3
209,2
54,4
54,3
345,4
323,4
345,6
184,4
65,2
285,2
169,3
169,3
208,1
338,3
364,2
130,2
54,2
102,3
68,2
170,4
228,5
276,3
216,1
133,2
414,6
170,3
368,6
138,2
272,5
391,6
39,2
403,6
92,3
23,3
78,3
